repoName,repoLink,repoDescription,repoAuthor,repoAuthorLink,isInactive,isArchived,stars
"Vue 3 OTP Input","https://github.com/ejirocodes/vue3-otp-input","🐗 A fully customizable OTP input component built with Vue 3.x.","@ejirocodes","https://twitter.com/ejirocodes","","",115
"VSCode NestsJs Snippets","https://github.com/ashinzekene/vscode-nestjs-snippets","A VScode extension for adding snippets for your code.","@ashinzekene","https://twitter.com/ashinzekene","","",109
"ShelfView","https://github.com/tdscientist/ShelfView","Android Library to display books on shelf","@tdscientist","https://twitter.com/tdscientist",true,"",102
"Support-ticket","https://github.com/ammezie/support-ticket","A support ticket application in Laravel.","@ammezie","https://twitter.com/ammezie",true,"",102
"Web3terms","https://github.com/Olanetsoft/web3terms","A Twitter bot explaining and simplifying web3 terms to everyone.","@olanetsoft","https://twitter.com/olanetsoft","","",99
"Whatsticker","https://github.com/deven96/whatsticker","Automatically turn images/videos into stickers by using a caption.","@deven96","https://twitter.com/_deven96","","",98
"Whatsticker","https://github.com/deven96/whatsticker","Automatically turn images/videos into stickers by using a caption.","@deven96","https://twitter.com/_deven96","","",98
"WordPress Persist Admin Notices Dismissal","https://github.com/collizo4sky/persist-admin-notices-dismissal","Simple plugin that persists dismissal of admin notices across pages in WordPress dashboard.","@w3guy","https://twitter.com/w3guy","","",90
"Laravel-PDF-Viewer","https://github.com/goodnesskay/LARAVEL-PDF-VIEWER","A Laravel Package for viewing PDF files or documents on the web without leaving your Web Application.","@goodnesskay","https://twitter.com/goodnesskayode",true,"",89
"react-webpack-starter","https://github.com/temilaj/react-webpack-starter","A boiler plate for creating react applications bundled by webpack (using ES6, Babel, SASS and the webpack development server).","@temilaj","https://twitter.com/temilaj",true,"",88
"Quicksi CLI","https://github.com/AnayoOleru/quicksi","A command-line bot tool that contains reuseable templates in different languages, frameworks and libraries designed to make it easy for developers to start projects without having to worry about the setup.","@AnayoOleru","https://twitter.com/AnayoOleru","","",86
"Display Medium Posts","https://github.com/acekyd/display-medium-posts","Display Medium Posts is a WordPress plugin that allows users display posts from medium.com on any part of their website. Available on the WordPress store.","@acekyd","https://twitter.com/ace_kyd","","",84
"Mui-data-table","https://github.com/andela-cdaniel/mui-data-table","","@AustinSwaggz","https://twitter.com/AustinSwaggz","",true,82
"PackageHub","https://github.com/BrainMaestro/packagehub","An extension for displaying dependencies for many package managers on GitHub.","@BrainMaestro","https://twitter.com/BrainMaestro",true,"",80
"sails-hook-swagger-generator","https://github.com/theo4u/sails-hook-swagger-generator","A tool to help generate Swagger specification documentation for Sails APIs","@theo4me","https://twitter.com/theo4me","","",78
"koii","https://github.com/BolajiOlajide/koii","A simple middleware to display routes in an express application.","@Bolaji___","https://twitter.com/Bolaji___","","",76
"flargd","https://github.com/pmbanugo/flargd","A fast & minimalist feature flag app that runs on Clouflare Workers.","@p_mbanugo","https://twitter.com/p_mbanugo","","",75
"Dropd","https://github.com/whizkydee/dropd","Zero-dependency minimalistic dropdown component for React and Vue.","@mrolaolu","https://twitter.com/mrolaolu","","",73
"Naija State And Local Government","https://github.com/atomicman57/naija-state-local-government","A simple zero dependency npm package that lists Nigeria states and local governments.","@blessingadesina3","https://twitter.com/blessingadesin3","","",73
"Newspaperjs","https://github.com/flickz/newspaperjs","Nodejs: News extraction, scraping and article parsing module.","@flickzcode","https://twitter/flickzcode","","",73
"wtfoperamini","https://github.com/ireade/wtfoperamini","Development features not supported in Opera Mini, and some crowsourced workarounds for them.","@ireaderinokun","https://twitter.com/ireaderinokun","","",71
"Product-Tour","https://github.com/Robophil/Product-Tour","A responsive tour snippet, with a step-by-step guide(onboarding).","@robophil_","https://twitter.com/robophil_",true,"",67
"AppFramer","https://github.com/olucurious/AppFramer","AppFramer helps to put your app screenshots in beautiful device frames with annotations by running a simple command.","@olucurious","https://twitter.com/olucurious",true,"",63
"Laravel Mentions","https://github.com/unicodeveloper/laravel-mentions","Laravel 5 Package for enabling facebook type of mentions in your application.","@unicodeveloper","https://twitter.com/unicodeveloper",true,"",63
"StartEase Cli","https://github.com/JC-Coder/startease","StartEase is a command-line interface (CLI) tool designed to make project setup a breeze. Whether you're working with your favorite technologies or exploring new ones, StartEase is your companion for quickly and effortlessly scaffolding projects.","@jc_coder1","https://twitter.com/jc_coder1","","",61
